MATRÍCULA ESTABLECIMIENTO,NOMBRE ESTABLECIMIENTO,DIRECCIÓN,MUNICIPIO,TELÉFONO ESTABLECIMIENTO 1,TELÉFONO ESTABLECIMIENTO 2,TELÉFONO ESTABLECIMIENTO 3,EMAIL ESTABLECIMIENTO,CÓDIGO CIIU 1,DESCRIPCION CÓDIGO CIIU 1,CÓDIGO CIIU 2,DESCRIPCION CÓDIGO CIIU 2,CÓDIGO CIIU 3,DESCRIPCION CÓDIGO CIIU 3,CÓDIGO CIIU 4,DESCRIPCION CÓDIGO CIIU 4,MATRICULA MERCANTIL / NRO ESAL DEL PROPIETARIO,NOMBRE / RAZÓN SOCIAL PROPIETARIO,REPRESENTANTE LEGAL
351367-2,"HOTEL HORIZONTES BRICEÑO
",CALLE 11 10 A 08,BRICEÑO,8570075.0,3147948294.0,,medardoantony@hotmail.com,5511,Alojamiento en hoteles,,,,,,,283246-1,RAMIREZ JIMENEZ MEDARDO ANTONIO,
352370-2,HOTEL Y ESTADERO CHAQUENODA,Carrera 32 29 34,FRONTINO,8595188.0,,,betoroldang902@gmail.com,5511,Alojamiento en hoteles,,,,,,,629360-1,ROLDAN GUZMAN LUIS ALBERTO,
459465-2,ESTADERO LOS PORROS,VEREDA BLANQUIZAL,EBEJICO,3206679326.0,,,sanantonioebejico@gmail.com;sanantonioebejico@hotmail.com,5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5519.0,Otros tipos de alojamiento para visitantes,5619.0,Otros tipos de expendio de comidas preparadas n.c.p.,,,395697-1,PINEDA ECHAVARRIA URBANO,
435146-2,HOTEL ROMANCE AYACUCHO,CALLE 49 45 23,MEDELLÍN,2313434.0,,,JROZO73@HOTMAIL.COM,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,755407-1,BETANCUR RUIZ SANDRA MILENA,
364862-2,HOTEL PARAISO ESCONDIDO ,CARRERA 31 28 16,URRAO,8502908.0,,,yuliethcarurr@hotmail.com,5511,Alojamiento en hoteles,,,,,,,,HERRERA COSSIO OSCAR TULIO,
365521-2,HOTEL DESEOS,CARRERA 50 A 53 36,MEDELLÍN,6043059808.0,6044075825.0,3138391862.0,felipeochoac@gmail.com;jorge.correamaya1@gmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,410290-1,CORREA MAYA JORGE ELIECER,
365386-2,CHARCUTERIA RUTH VANEGAS ,CL 10 9 - 16,ANGELOPOLIS,3148876633.0,,,ruthvanegas07@gmail.com,5611,Expendio a la mesa de comidas preparadas,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5621.0,Catering para eventos,5590.0,Otros tipos de alojamiento n.c.p.,298501-1,VANEGAS GOMEZ RUTH ELENA,
238598-2,HOTEL FLORIDA ,CARRERA 70 44 B 12,MEDELLÍN,3184578343.0,,,gerenciahotelflorida@une.net.co,5511,Alojamiento en hoteles,,,,,,,172375-4,"CORPORACION HOTELERA LA FLORIDA S.A. ""EN LIQUIDACION""",LINA MARIA BETANCUR MIRA
237040-2,HOTEL LAURELES 70 ,Circular 5 A 70 13,MEDELLÍN,4112828.0,,,laureles70contabilidad@gmail,5511,Alojamiento en hoteles,1084.0,Elaboración de comidas y platos preparados,,,,,568649-12,INVERSIONES PJC S.A.S.,JORGE ENRIQUE MONTOYA CHAVARRIAGA
238666-2,NARATUPE RESTAURANTE ,CARRERA 49 47 08,CIUDAD BOLIVAR,8410479.0,,,any_lopez1988@hotmail.com,5611,Expendio a la mesa de comidas preparadas,4922.0,Transporte mixto,5511.0,Alojamiento en hoteles,8299.0,Otras actividades de servicio de apoyo a las empresas n.c.p.,98552-1,LOPEZ GALEANO LUIS ARTURO,
